player_total,dealer_card,soft,win_prob,best_move
11,10,0,0.462,1
13,7,0,0.3315,1
18,10,0,0.3215,0
15,3,1,0.496,1
15,9,0,0.218,1
8,2,0,0.433,1
21,9,1,0.941,0
13,6,0,0.4225,0
11,10,0,0.466,1
19,10,0,0.427,0
18,6,0,0.533,0
14,3,0,0.3725,0
21,7,1,0.928,0
15,3,0,0.3795,0
16,11,0,0.1865,0
19,11,1,0.386,0
17,6,0,0.4465,0
5,10,0,0.2155,1
20,10,0,0.527,0
20,4,1,0.7655,0
13,4,1,0.4765,1
8,7,0,0.425,1
14,10,0,0.228,1
5,3,0,0.3855,1
9,10,0,0.318,1
9,9,0,0.3675,1
14,5,0,0.4135,0
11,10,0,0.467,1
19,9,0,0.4635,0
13,2,1,0.466,1
20,10,0,0.54,0
20,8,0,0.8535,0
11,8,0,0.542,1
9,4,0,0.515,1
8,10,0,0.2785,1
14,3,0,0.384,0
12,4,0,0.397,0
14,6,0,0.4415,0
13,10,0,0.228,1
21,4,1,0.8855,0
18,10,0,0.3225,0
13,4,0,0.4105,0
20,7,0,0.857,0
12,7,0,0.3585,1
20,10,0,0.552,0
17,10,0,0.2105,0
16,10,0,0.21,0
8,10,0,0.273,1
13,3,0,0.359,0
19,10,0,0.4355,0
14,11,0,0.196,0
17,6,0,0.4435,0
21,10,1,0.893,0
16,5,0,0.394,0
20,10,0,0.548,0
8,11,0,0.2355,1
20,9,0,0.823,0
20,2,0,0.7495,0
13,10,0,0.244,1
17,11,0,0.212,0
16,10,0,0.207,0
16,6,0,0.4315,0
16,10,1,0.3255,1
14,4,0,0.391,0
18,2,0,0.48,0
16,3,0,0.385,0
16,3,0,0.385,0
9,11,0,0.275,1
15,10,0,0.215,0
12,4,0,0.3925,0
20,11,0,0.513,0
11,5,0,0.6135,1
10,6,0,0.6325,1
13,10,0,0.214,1
16,5,0,0.409,0
16,5,0,0.4145,0
16,5,1,0.5,1
13,6,0,0.457,0
20,10,0,0.536,0
17,4,0,0.4095,0
10,10,0,0.38,1
19,7,0,0.78,0
20,10,0,0.561,0
10,6,0,0.601,1
4,11,0,0.188,0
20,11,0,0.498,0
8,10,0,0.2755,1
20,8,0,0.8595,0
15,10,0,0.2155,0
15,5,0,0.4255,0
7,10,0,0.226,1
13,11,0,0.208,0
15,10,1,0.327,1
13,3,1,0.4845,1
21,9,1,0.9405,0
17,8,0,0.233,0
10,8,0,0.5385,1
14,6,0,0.4565,0
8,10,0,0.254,1
17,7,0,0.2645,0
15,2,0,0.3355,0
12,7,0,0.3525,1
16,8,0,0.247,1
15,10,1,0.327,1
16,7,0,0.2825,1
17,10,1,0.293,1
15,3,0,0.357,0
14,10,0,0.2285,1
17,10,0,0.2135,0
16,3,0,0.384,0
20,8,0,0.856,0
10,10,0,0.4105,1
12,5,0,0.404,0
16,3,0,0.37,0
8,4,0,0.462,1
17,3,0,0.37,0
4,11,0,0.1815,1
9,3,0,0.4865,1
17,2,0,0.3655,0
19,9,0,0.4605,0
12,10,0,0.2325,1
20,6,0,0.774,0
21,10,1,0.885,0
